"Time","power consumption"
2022-09-05 21:47:50,46.6
2022-09-05 21:47:55,47.1
2022-09-05 21:48:00,47.1
2022-09-05 21:48:05,47.1
2022-09-05 21:48:10,47.1
2022-09-05 21:48:15,22.0
2022-09-05 21:48:20,22.0
2022-09-05 21:48:25,22.0
2022-09-05 21:48:30,22.0
2022-09-05 21:48:35,22.0
2022-09-05 21:48:40,22.0
2022-09-05 21:48:45,22.0
2022-09-05 21:48:50,22.0
2022-09-05 21:48:55,48.3
2022-09-05 21:49:00,48.3
2022-09-05 21:49:05,48.3
2022-09-05 21:49:10,48.3
2022-09-05 21:49:15,48.9
2022-09-05 21:49:20,48.9
2022-09-05 21:49:25,48.9
2022-09-05 21:49:30,48.9
2022-09-05 21:49:35,47.7
2022-09-05 21:49:40,47.7
2022-09-05 21:49:45,47.7
2022-09-05 21:49:50,47.7
2022-09-05 21:49:55,46.8
2022-09-05 21:50:00,46.8
2022-09-05 21:50:05,46.8
2022-09-05 21:50:10,46.8
2022-09-05 21:50:15,7.0
2022-09-05 21:50:20,7.0
2022-09-05 21:50:25,7.0
2022-09-05 21:50:30,7.0
2022-09-05 21:50:35,6.0
2022-09-05 21:50:40,6.0
2022-09-05 21:50:45,6.0
2022-09-05 21:50:50,6.0
2022-09-05 21:50:55,5.8
2022-09-05 21:51:00,5.8
2022-09-05 21:51:05,5.8
2022-09-05 21:51:10,5.8
2022-09-05 21:51:15,5.5
2022-09-05 21:51:20,5.5
2022-09-05 21:51:25,5.5
2022-09-05 21:51:30,5.5
2022-09-05 21:51:35,5.3
2022-09-05 21:51:40,5.3
2022-09-05 21:51:45,5.3
2022-09-05 21:51:50,5.3
2022-09-05 21:51:55,47.2
2022-09-05 21:52:00,47.2
2022-09-05 21:52:05,47.2
2022-09-05 21:52:10,47.2
2022-09-05 21:52:15,42.1
2022-09-05 21:52:20,42.1
2022-09-05 21:52:25,42.1
2022-09-05 21:52:30,42.1
2022-09-05 21:52:35,45.8
2022-09-05 21:52:40,45.8
2022-09-05 21:52:45,45.8
